Idioms,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Sentence 1,Sentence 2,Sentence 3,Sentence 4
survival of the fittest,the idea that the most able or fit will survive (while the less able and less fit will perish). (This is used literally as a part of the theory of evolution.),,,,,"In college, it’s the survival of the fittest. You have to keep working in order to survive and graduate. ","I don’t look after my house-plants very well, but the ones I have are really flourishing. It’s the survival of the fittest, I suppose. ",,
swallow one’s pride,to forget one’s pride and accept something humiliating.,,,,,I had to swallow my pride and admit that I was wrong. ,"When you’re a pupil, you find yourself swallowing your pride quite often. ",,
"swallow something hook, line, and sinker",to believe something completely. (These terms refer to fishing and fooling a fish into being caught.),,,,,"I made up a story about why I was so late. They all swallowed it hook, line, and sinker. ","I feel like a fool. I swallowed the trick hook, line, and sinker. ",,
swan around,to go around in an idle and irresponsible way.,,,,,Mrs. Smith’s swanning around abroad while her husband’s in hospital here. ,Mary’s not looking for a job. She’s just swanning around visiting all her friends. ,,
swan song,"the last work or performance of a playwright, musician, actor, etc., before death or retirement.",,,,,His portrayal of Lear was the actor’s swansong. ,We didn’t know that her performance last night was the singer’s swan-song. ,,
sweep something under the carpet,"to try to hide something unpleasant, shameful, etc., from the attention of others.",,,,,"The boss said he couldn’t sweep the theft under the carpet, that he’d have to call in the police. ",,,
swim against the tide,to do the opposite of what everyone else does, to go against the trend.,,,,Bob tends to do what everybody else does. He isn’t likely to swim against the tide. ,Mary always swims against the tide. She’s a very contrary person. ,,
tail wagging the dog,a situation where a small or minor part is controlling the whole thing.,,,,,"John was just employed yesterday, and today he’s bossing everyone around. It’s a case of the tail wagging the dog. ",Why is this minor matter being given so much importance? It’s the tail wagging the dog! ,,
take a leaf out of someone’s book,to behave or to do something in the way that someone else would, to use someone as an example.,,,,Take a leaf out of your brother’s book and work hard. ,Eventually June took a leaf out of her friend’s book and started dress- ing smartly. ,,
take a stab at something,"to make a try at something, sometimes without much hope of success.",,,,,"I don’t know if I can do it, but I’ll take a stab at it. ","Come on, Mary. Take a stab at catching a fish. You might end up liking fishing. ",Would you like to have a stab at this problem? ,
take leave of one’s senses,to become irrational.,,,,,What are you doing? Have you taken leave of your senses? ,What a terrible situa- tion! It’s enough to make one take leave of one’s senses. ,,
take one’s medicine,to accept the punishment or the bad fortune which one deserves.,,,,,"I know I did wrong, and I know I have to take my medicine. ","Billy knew he was going to be punished, and he didn’t want to take his medicine. ",,
take someone down a peg (or two),to reprimand someone who is acting in too arrogant a way.,,,,,The teacher’s scolding took Bob down a peg or two. ,He was so rude that someone was bound to take him down a peg. ,,
take someone to task,to scold or reprimand someone.,,,,,The teacher took John to task for his bad behaviour. ,"I lost a big contract, and the managing director took me to task in front of everyone. ",,
take someone under one’s wing,to take over and care for a person.,,,,,John wasn’t doing well at school until an older pupil took him under her wing. ,"I took the new workers under my wing, and they learned the job in no time. ",,
take something as read,"to assume something or regard something as being understood and accepted without reading it out, stating it, or checking it.",,,,,"Can we take the minutes of the meeting as read, or should I read them? ","I think we can take their agreement as read, but I’ll check with them if you like. ",,
take something in one’s stride,to accept something as natural or expected.,,,,,"The argument surprised him, but he took it in his stride. ","It was a very rude remark, but Mary took it in her stride. ",,
take something lying down,to endure something unpleasant without fighting back.,,,,,"He insulted me publicly. You don’t expect me to take that lying down, do you? ",I’m not the kind of person who’ll take something like that lying down. ,,
take something on the chin,to experience and endure a blow stoically.,,,,,"The bad news was a real shock, but John took it on the chin. ","The worst luck comes my way, but I always end up taking it on the chin. ",,
take something to heart,to take something very seriously.,,,,,John took the criticism to heart and made an honest effort to improve. ,"I know Bob said a lot of cruel things to you, but he was angry. You shouldn’t take those things to heart. ",,
take the rough with the smooth,to accept the bad things along with the good things.,,,,,We all have disappointments. You have to learn to take the rough with the smooth. ,"There are good days and bad days, but every day you take the rough with the smooth. That’s life. ",,
take the wind out of someone’s sails,to put an end to someone’s boasting or arrogance and make the person feel embarrassed, to take an advantage away from someone.,,,,John was bragging about how much money he earned until he learned that most of us make more. That took the wind out of his sails. ,Learning that one has been totally wrong about something can really take the wind out of one’s sails. ,,
